Updated 22.08.2025,,Essence Cap,I,II,III,IV,V,Soul Types,,,A new sheet for event prices has been added at the bottom of the page,,,,,
,Proximity Blind,,S,,,,,,,,Chaos Essences exclusively made possible by the work of Tatatot234,,,,,
,Slow Resistance,5,B,A,X,Z ,Z ,,,,https://docs.google.com/spreadsheets/d/12CYgW-9DA6b-6k7qpEpmE496k8kP6t7B_9cTo85D1RU/edit#gid=809036244,,,,,
,Photosynthesis,,B,,,,,,,,^ Link to his Master Essence Spreadsheet,,,,,
,Heal On Teleport,3,BBB,S,SSS,,,,,,,,,,,
,Fatigue Resistance,4,B,SS,SSS,X,,,,,,,,,,
,Skeleton On Teleport,,AA,,,,,,,,,,,,,
,Curse Of Fangs,,BBB,,,,,Shdw 1,,,Price Tiers,Quality Tiers,,,,
,Force Field,,CC,,,,,Dim 1,,,Bidding wars,Z,,,,
,Goatfather,,CC,,,,,Nature 2,,,1-2 Sheggs,X,,,,
,Lava Eater,,BB,,,,,Free,,,15s-26s,SSS,,,,
,Spontaneous Combustion,,CC,,,,,Free,,,9s-15s,SS,,,,
Dimensional Key Essences,,,,,,,,,,,7s-9s,S,,,,
,Arrow Strike,,AAA,,,,,,,,7s,AAA,,,,
,Fatal Strike,,SSS,,,,,,,,6s,AA,,,,
,Ice Coffin Strike,,AAA,,,,,,,,5s,A,(my god the attention to detail),,,
,Soul Break,,B,,,,,,,,4s,BBB,,,10,0.15625
,Healthy Strike,,S,,,,,,,,3s,BB,,4,,4
,Untouchable,4,BBB,S,X,(can stack to 4),,,,,2s,B,,30,,30
,Reflect On Melee Block,,B,,,,,,,,1s Or Less,CCC,,5,,5
,Shadowmeld,,B,,,,,,,,32d Or Less,CC,,221,,110
,Heightened Senses,4,B,AA,SS,(can stack to 4),,,,,16d Or Less,C,,21,,21
,Stability Field,3,CCC,A,SSS,,,,,,Not Yet Traded,TBD,,33,,33
,Decreased Infinity Block Cooldown,,B,,,,,,,,,,,21,,21
,Frost Armor,4,CCC,AA,S,(can stack to 4),,,,,,,,4,,4
,Increased Infinity Blocks Placed,,BBB,,,,,,,,,,,22,,22
,Static Field,,CC,,,,,Degg,,,,,,3,,3
,Life Swap,,CC,,,,,Degg,,,,,,7,,7
,Summon Dimension Anomaly,,SS,,,,,Dim 2,,,,,,31,,31
,Water Eater,,BB,,,,,Free,,,,,,5,,5
,Ender Pearl Dispencer,,C,,,,,Dim 1,,,,,,1,10,1.15625
,Mass Polymorph,,CCC,,,,,Degg,,,,,,20,,20
Inferno Key Essences,,,,,,,,,,,,,,7,,7
,Aquatic Explosion,,BB,,,,,,,,,,,0,,0
,Death Claw Critical,,X,,,,,,,,,,,0,,0
,High Gravity Critical,,SSS,,,,,,,,,,,19,,19
,Magma Critical,,CCC,,,,,,,,Price Tiers,Quality Tiers,,13,,13
,Water Shot,,B,,,,,,,,Bidding wars,Z,,8,,8
,Dark Seed Explosion,,A,,,,,,,,1-2 Sheggs,X,,5,,5
,Volcanic Explosion,,A,,,,,,,,15s-26s,SSS,,6,,6
,Flower Healing,3,C,B,AAA,,,,,,9s-15s,SS,,5,,5
,Backstab Resistance,3,C,CCC,B,,,,,,7s-9s,S,,85,,60
,Explosion Resistance,3,C,CCC,B,,,,,,7s,AAA,,27,,27
,Headshot Resistance,3,C,CC,B,,,,,,6s,AA,,18,,18
,Poison Resistance,4,C,CC,CCC,SSS,,,,,5s,A,,84,,60
,Wither Resistance,4,C,CC,CCC,SSS,,,,,4s,BBB,,5,,5
,Meteor Storm,,A,,,,,Degg,,,3s,BB,,3,,3
,Soul Chain,,C,,,,,Dragon 1,,,2s,B,,2,,2
,Gravity Well,,CC,,,,,Dragon 2,,,1s Or Less,CCC,,,20,0.3125
,Sonic Slash,,AA,,,,,Free,,,32d Or Less,CC,,3,,3
,Flower Field,,B,,,,,Nature 1,,,16d Or Less,C,,13,,13
,Summon Woods,,CC,,,,,Nature 1,,,Not Yet Traded,TBD,,4,,4
,Parrot Form,,CC,,,,,Nature 1,,,,,,,15,0.234375
,Deep Freeze,,BB,,,,,Ice 3,,,,,,2,,2
Chaos Key Essences,,,,,,,,,,,,,,1,,1
,Nausea,,C,,,,,,,,,,,1,,1
,Blind,,CCC,,,,,,,,,,,1,,1
,Wither,3,CCC,BB,SS,,,,,,,,,6,,6
,Poison,3,C,CCC,AA,,,,,,,,,,15,0.234375
,Slow,5,CC,B,AA,SSS,Z,,,,,,,,30,0.46875
,Bind,3,CCC,BB,AA,,,,,,,,,,5,0.078125
,Cripple,3,B,A,SSS,,,,,,Price Tiers,Quality Tiers,,,10,0.15625
,Feed Blocker,3,B,BB,AA,,,,,,Bidding wars,Z,,,10,0.15625
,Marker,,CCC,,,,,,,,1-2 Sheggs,X,,74,,74
,Magic Disrupt,3,CCC,A,SSS,,,,,,15s-26s,SSS,,32,,32
,Starve,,B,,,,,,,,9s-15s,SS,,200,,100
,Reduce Heal,,A,,,,,,,,7s-9s,S,,269,,135
,Life Steal,2,BBB,SSS,,,,,,,7s,AAA,,12,,12
,Bloodlust,,BBB,,,,,,,,6s,AA,,7,,7
,Mounted Damage,2,C,B,,,,,,,5s,A,,60,,60
,Lightning Strike,3,B,B,SS,,,,,,4s,BBB,,,10,0.15625
,Freezing Strike,,A,,,,,,,,3s,BB,,,10,0.15625
,Recover Undead Strike,,C,,,,,,,,2s,B,,4,,4
,Recover Shadow Strike,,C,,,,,,,,1s Or Less,CCC,,7,,7
,Backstab,2,BBB,SS,,,,,,,32d Or Less,CC,,32,,32
,Sage Slayer,,AA,,,,,,,,16d Or Less,C,,,5,0.078125
,Critical Plus,,AAA,,,,,,,,Not Yet Traded,TBD,,,5,0.078125
,Elder Branch,,BBB,,,,,,,,,,,,5,0.078125
,Satan Sweep,,BBB,,,,,,,,,,,3,,3
,Instant Mining,,A,,,,,,,,,,,1,,1
,Increased Melee Damage,3,BB,S,X,,,,,,,,,33,,33
,Increased Lightning Damage,5,C,CC,B,S,SS,,,,,,,3,,3
,Increased Magic Damage,3,B,AAA,X close to Z,,,,,,,,,3,,3
,Increased Arrow Damage,5,C,CCC,A,SSS,X close to Z,,,,Price Tiers,Quality Tiers,,4,,4
,Chaos Curse,,A,,,,,,,,Bidding wars,Z,,,10,0.15625
,Levitation Shot,,BB,,,,,,,,1-2 Sheggs,X,,,10,0.15625
,Frost Arrow,,CC,,,,,,,,15s-26s,SSS,,1,,1
,Love Strike,,C,,,,,,,,9s-15s,SS,,11,,11
,Sticky Explosive,,BBB,,,,,,,,7s-9s,S,,6,,6
,Headshot,3,CC,BBB,S,,,,,,7s,AAA,,6,,6
,Lava Shot,2,CC,BB,,,,,,,6s,AA,,40,,40
,Spectre Shot,,C,,,,,,,,5s,A,,3,,3
,Santa Rage,,CCC,,,,,,,,4s,BBB,,2,,2
,Molotov,,CC,,,,,,,,3s,BB,,,10,0.15625
,Crouching Web Shot,,C,,,,,,,,2s,B,,1,,1
,Rabbit Shot,,CC,,,,,,,,1s Or Less,CCC,,,,-2
,Falken,,AAA,,,,,,,,32d Or Less,CC,,,,-2
,Heart Extractor,,C,,,,,,,,16d Or Less,C,,,,-2
,Decapication,,CC,,,,,,,,Not Yet Traded,TBD,,,,-2
,Unholy Strength,,C,,,,,,,,,,,,,-2
,Chain Shot,,C,,,,,,,,,,,,,-2
,Death Absorption,,CC,,,,,,,,,,,,,-2
,Regeneration,3,AA,SS,X close to Z,,,,,,,,,,,-2
,Jump,5,CC,BB,BBB,AA,SS,,,,,,,,,-2
,Speed,5,B,BB,S,X close to Z,Z,,,,,,,,,-2
,Strength,4,B,S,SSS,Z,,,,,,,,,,-2
,Damage Resistance,,SS,,,,,,,,,,,,,-2
,Haste,2,B,SSS,,,,,,,,,,,,-2
,Absorption,3,BB,S,X close to Z,,,,,,,,,,,-2
,Water Breathing,,CC,,,,,,,,,,,,,-2
,Night Vision,,C,,,,,,,,,,,,,-2
,Blindness Immunity,,AA,,,,,,,,,,,,,-2
,Knockback Immunity,,AA,,,,,,,,,,,,,-2
,Anti-Mage,3,CC,A,X close to Z,,,,,,Price Tiers,Quality Tiers,,,,-2
,Sacred Absorption,,C,,,,,,,,Bidding wars,Z,,,,-2
,Sacred Regen,,C,,,,,,,,1-2 Sheggs,X,,,,-2
,Sacred Strength,,C,,,,,,,,15s-26s,SSS,,,,-2
,Grass Nourishment,,B,,,,,,,,9s-15s,SS,,,,-2
,Exp Gain Boost,5,C,C,C,C,B,,,,7s-9s,S,,,,-2
,Increased Heal Power,5,CC,CCC,BBB,SS,Z,,,,7s,AAA,,,,-2
,Increased Potion Duration,,BB,,,,,,,,6s,AA,,,,-2
,Increased Heal & Harm Potion,,CCC,,,,,,,,5s,A,,,20,0.3125
,Fast Potion Recharge,,B,,,,,,,,4s,BBB,,,,0
,Increased Dagger Replenish,,CC,,,,,,,,3s,BB,,,,0
,Increased Throwing Damage,,CC,,,,,,,,2s,B,,,,0
,Increased Maximum Daggers,5,C,C,CC,BB,S,,,,1s Or Less,CCC,,,20,0.3125
,Increased Summon Damage,3,CC,B,SS,,,,,,32d Or Less,CC,,,,-2
,Maximum Bees,4,C,CC,BB,AA,,,,,16d Or Less,C,,,,-2
,Bee Aggression,4,C,C,CCC,S,,,,,Not Yet Traded,TBD,,,,-2
,Nature Free Cast,5,C,CC,BB,AAA,X,,,,,,,,,-2
,Bite Back,,CC,,,,,,,,,,,,,-2
,Spongebob,,CC,,,,,,,,,,,,,-2
,Heal On Shield Block,,CC,,,,,,,,,,,,,-2
,Lava Walker,,CC,,,,,,,,,,,,,-2
,Ice Growth,,C,,,,,Ice 1,,,,,,,,-2
,Blood Soup,,C,,,,,,,,,,,,,-2
,Baby Horde,,C,,,,,,,,,,,,,-2
,Rabbid Rabbits,,C,,,,,,,,,,,,,-2
,Blood Heal,,C,,,,,,,,,,,,,-2
,Web Spinner,,C,,,,,,,,,,,,,-2
,Polymorph,,C,,,,,,,,,,,,,-2
,Centipede,,C,,,,,,,,,,,,,-2
,Bone Path,,C,,,,,,,,,,,,,-2
,Ignoble Steed,,C,,,,,,,,,,,,,-2
,Water Ball,,C,,,,,,,,,,,,,-2
,Ice Shinto,,C,,,,,Ice 1,,,Price Tiers,Quality Tiers,,,,-2
,Ninja Foxes,,C,,,,,,,,Bidding wars,Z,,1,,-2
,Fire Blast,,C,,,,,,,,1-2 Sheggs,X,,,,-2
,Vexers,,C,,,,,,,,15s-26s,SSS,,,,-2
,Elder Phantom,,C,,,,,,,,9s-15s,SS,,,,-2
,Dragon Switch,,C,,,,,,,,7s-9s,S,,,,-2
,Fire Hand,,C,,,,,,,,7s,AAA,,,,-2
,Ice Bomb,,C,,,,,,,,6s,AA,,,,-2
,Skeleton Horse,,C,,,,,,,,5s,A,,3,,3
,Fire Soulmass,,C,,,,,,,,4s,BBB,,,,-2
,Aegis,,C,,,,,,,,3s,BB,,,,-2
,Ghast Chan,,C,,,,,,,,2s,B,,,,-2
,Fire Spiral,,C,,,,,Fire 1,,,1s Or Less,CCC,,,,-2
,Flame Aegis,,C,,,,,,,,32d Or Less,CC,,,,-2
,Shadow Fangs,,C,,,,,,,,16d Or Less,C,,,,-2
,Dragon Fireball,,C,,,,,,,,Not Yet Traded,TBD,,,,-2
,Telekinesis,,C,,,,,,,,,,,,,-2
,Mana Spirit,,C,,,,,,,,,,,,,-2
,Honey Cannon,,C,,,,,,,,,,,,,-2
,Flying Turtle,,CC,,,,,,,,,,,,,-2
,Skeleton Assassin,,C,,,,,,,,,,,,,-2
,War Bees,,C,,,,,,,,,,,,,-2
,Ice Prison,,C,,,,,,,,,,,,,-2
,Icengard,,C,,,,,,,,,,,,,-2
,Levitation,,C,,,,,,,,,,,11,,11
,Ball Lightning,,C,,,,,,,,,,,,,0
,Multiflame,,C,,,,,,,,,,,6,,6
,Bone Spirit,,C,,,,,,,,,,,,,0
,Invisible Sneak,,CC,,,,,,,,,,,,,0
,Night Goggles,,C,,,,,,,,Price Tiers,Quality Tiers,,,,0
,Jump Rod,,C,,,,,,,,Bidding wars,Z,,,,0
,Shoot Web,,C,,,,,,,,1-2 Sheggs,X,,,,0
,Teleport,,C,,,,,,,,15s-26s,SSS,,,30,0.46875
,Blizzard,,C,,,,,,,,9s-15s,SS,,,,0
,Ice Domain,,C,,,,,,,,7s-9s,S,,2,,2
,Lava Shotgun,,C,,,,,,,,7s,AAA,,2,,2
,Shadow Swarm,,C,,,,,,,,6s,AA,,,,-2
,Magma Orb,,C,,,,,,,,5s,A,,,,-2
,Rage of Zeus,,C,,,,,,,,4s,BBB,,,,-2
,Woofers,,C,,,,,,,,3s,BB,,,,-2
,Web Step,,C,,,,,,,,2s,B,,,,-2
,Black Hole,,C,,,,,Degg,,,1s Or Less,CCC,,,,-2
,Snowmage,,C,,,,,Ice 5,Shdw 1,,32d Or Less,CC,,,,-2
,Shadow Form,,C,,,,,,,,16d Or Less,C,,,,-2
,Nature Heal,,C,,,,,,,,Not Yet Traded,TBD,,,,-2
,Flying Panda,,CC,,,,,,,,,,,2,,2
,Lava Bolt,,C,,,,,,,,,,,2,,2
,Dragon Leap,,BBB,,,,,,,,,,,1,,1
,Grug Charge,,C,,,,,,,,,,,,,1045.0625
,Blood Drain,,C,,,,,,,,,,,,,3.928806391
,Blessed Snow,,C,,,,,,,,,,,,,
,Dimension Steed,,C,,,,,,,,,,,,,
,Morbin Time,,C,,,,,,,,,,,,,
,Escape Skeleton,,C,,,,,,,,,,,,,
,Giant Snowball,,C,,,,,,,,,,,,,
,Exploding Chickens,,C,,,,,,,,,,,,,
,Puchita,,C,,,,,,,,,,,,,
,Ice Path,,C,,,,,Ice 1,,,,,,,,
,Shadow Saw,,C,,,,,Shdw 1,,,,,,,,
,Skeleton Archer,,C,,,,,,,,,,,,,
,Curse Skull,,C,,,,,Undead 1,,,,,,,,
,Zombie Horse,,C,,,,,,,,,,,,,
,Bat Blink,,C,,,,,,,,,,,,,
,Sneak Fortitication,2,CCC,S,,,,,,,,,,,,
,Tornado,,C,,,,,,,,,,,,,
,Quickstep,,A,,,,,,,,,,,,,
,Dragon Spawn,,C,,,,,Dragon 1,,,,,,,,
,Flying Brown Panda,,CC,,,,,,,,,,,,,
,Teleport Behind,,C,,,,,,,,,,,,,
,Vanishing Teleport,,CC,,,,,,,,,,,,,
,Safe Teleport,,???????,,,,,,,,,,,,,
,Berry Bush,,C,,,,,,,,,,,,,
,Fire Soul,3,,CC,CCC,,,,,,,,,,,
,Increased Fire Recharge,1,CC,,,,,,,,,,,,,
,Ice Soul,3,,CCC,B,,,,,,,,,,,
,Nature Soul,3,,CCC,B,,,,,,,,,,,
,Increased Elemental Recharge,1,CCC,,,,,,,,,,,,,
,Shadow Soul,3,,CC,CCC,,,,,,,,,,,
,Blood Soul,3,,CC,CCC,,,,,,,,,,,
,Fast Blood Recharge,,C,,,,,,,,,,,,,
,Blood Ground Siphon,1,C,,,,,,,,,,,,,
,Undead Soul,3,,CC,B,,,,,,,,,,,
,Orc Soul,3,,C,C,,,,,,,,,,,
,Dragon Soul,3,,CC,B,,,,,,,,,,,
,Increased Dark Recharge,1,CC,,,,,,,,,,,,,
,Increased Dragon Recharge,1,CC,,,,,,,,,,,,,
,Beast Soul,3,,CCC,BB,,,,,,,,,,,
,Dimension Soul,3,,CCC,CC,,,,,,,,,,,
